                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68627,                 2.5014,                 1.8313,                 1.1328,                0.99546,                      1,                  0.995,                0.63222,                0.99546,                      1,                  0.995,                0.48061,                 1.3645,                 4.0859,                 1.0806,                 2.3672,                0.00044,                0.00044,                0.00044
                      2,                 0.3614,                0.28751,                0.55301,                 0.9448,                      1,                      1,                  0.995,                0.90839,                      1,                      1,                  0.995,                  0.995,                 0.3734,                0.18515,                 1.7981,                0.79025,             0.00089109,             0.00089109,             0.00089109
                      3,                0.36561,                0.27882,                0.48279,                0.94132,                0.79831,                    0.9,                0.96662,                0.85402,                0.79831,                    0.9,                0.96662,                0.94689,                0.67261,                0.25824,                 1.7095,                0.84995,              0.0013331,              0.0013331,              0.0013331
                      4,                0.35016,                0.26422,                0.42977,                0.92944,                 0.9971,                      1,                  0.995,                0.96383,                 0.9971,                      1,                  0.995,                  0.995,                0.28821,                0.30597,                0.47057,                0.70924,              0.0017659,              0.0017659,              0.0017659
                      5,                0.35498,                0.28806,                0.41531,                 0.9319,                0.99729,                      1,                  0.995,                  0.969,                0.99729,                      1,                  0.995,                0.97398,                0.28019,                0.41636,                0.37845,                 0.7043,              0.0019208,              0.0019208,              0.0019208
                      6,                0.33528,                0.31598,                 0.3898,                0.93045,                0.74044,                0.71368,                0.85983,                0.55511,                0.74044,                0.71368,                0.85983,                0.58883,                 0.7877,                 1.0506,                 1.1914,                0.92822,              0.0019208,              0.0019208,              0.0019208
                      7,                0.34671,                0.28094,                0.37514,                 0.9325,                      1,                0.98991,                  0.995,                0.98135,                      1,                0.98991,                  0.995,                0.97042,                0.34976,                0.44465,                0.49979,                 0.7385,               0.001901,               0.001901,               0.001901
                      8,                0.33523,                0.27277,                0.35235,                0.91838,                0.99125,                      1,                  0.995,                0.94309,                0.99125,                      1,                  0.995,                0.90054,                0.27966,                0.86617,                0.38402,                0.69039,              0.0018812,              0.0018812,              0.0018812
                      9,                0.31605,                0.25318,                0.34139,                 0.9148,                0.99737,                      1,                  0.995,                  0.995,                0.99737,                      1,                  0.995,                  0.995,                0.18031,                0.13416,                0.24967,                0.65618,              0.0018614,              0.0018614,              0.0018614
                     10,                0.31647,                0.25016,                0.33597,                0.91678,                0.99074,                      1,                  0.995,                0.97858,                0.99074,                      1,                  0.995,                  0.995,                0.24092,                0.13545,                0.31254,                0.67087,              0.0018416,              0.0018416,              0.0018416
