                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41758,                0.51842,                0.73355,                0.95095,                0.99996,                      1,                  0.995,                0.98442,                0.99996,                      1,                  0.995,                0.99466,                0.22078,                0.13131,                0.36906,                0.64996,             0.00066288,             0.00066288,             0.00066288
                      2,                0.38415,                 0.2031,                0.35341,                0.92508,                0.99989,                      1,                  0.995,                0.99385,                0.99989,                      1,                  0.995,                0.99488,                0.18566,                0.12626,                0.20533,                0.63326,              0.0013164,              0.0013164,              0.0013164
                      3,                0.37766,                0.20263,                 0.3117,                0.91912,                0.99994,                      1,                  0.995,                0.98329,                0.99994,                      1,                  0.995,                0.99316,                0.24037,                0.17191,                 0.2334,                0.65837,              0.0019567,              0.0019567,              0.0019567
                      4,                0.36731,                0.20004,                0.29618,                0.91731,                0.99995,                      1,                  0.995,                0.97374,                0.99995,                      1,                  0.995,                0.91029,                0.27489,                0.99515,                0.22155,                0.67819,              0.0019406,              0.0019406,              0.0019406
                      5,                0.35583,                0.18332,                0.27547,                0.91283,                0.99996,                      1,                  0.995,                 0.9948,                0.99996,                      1,                  0.995,                0.99491,                0.16936,                0.11277,                0.16659,                0.62918,              0.0019406,              0.0019406,              0.0019406
                      6,                0.34353,                0.17974,                0.26324,                0.90931,                0.99996,                      1,                  0.995,                0.99272,                0.99996,                      1,                  0.995,                0.99491,                0.19196,                0.10958,                0.21257,                0.63284,              0.0019208,              0.0019208,              0.0019208
                      7,                0.33314,                0.17937,                 0.2462,                0.90719,                0.99989,                      1,                  0.995,                0.99382,                0.99989,                      1,                  0.995,                0.99472,                0.15638,                0.10229,                0.14787,                0.62858,               0.001901,               0.001901,               0.001901
                      8,                0.32618,                0.18043,                0.24114,                0.90546,                0.99995,                      1,                  0.995,                0.99419,                0.99995,                      1,                  0.995,                0.99443,                0.15427,                 0.1207,                0.13904,                0.63106,              0.0018812,              0.0018812,              0.0018812
                      9,                0.32995,                0.17754,                0.23977,                0.90682,                0.99995,                      1,                  0.995,                0.99386,                0.99995,                      1,                  0.995,                0.99496,                0.18234,                0.10076,                0.15248,                0.63626,              0.0018614,              0.0018614,              0.0018614
                     10,                 0.3151,                0.16941,                0.22702,                0.90254,                0.99997,                      1,                  0.995,                0.99469,                0.99997,                      1,                  0.995,                0.99486,                0.17249,                 0.0951,                0.15336,                 0.6313,              0.0018416,              0.0018416,              0.0018416
                     11,                0.32026,                0.17307,                0.22735,                0.90187,                0.99995,                      1,                  0.995,                0.99486,                0.99995,                      1,                  0.995,                0.99495,                0.14705,                0.10095,                0.13995,                 0.6239,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.3114,                0.17248,                0.22248,                0.89966,                0.99996,                      1,                  0.995,                0.99429,                0.99996,                      1,                  0.995,                 0.9948,                0.14153,                0.09437,                0.12702,                0.62453,               0.001802,               0.001802,               0.001802
                     13,                0.31022,                  0.171,                0.21867,                0.89851,                0.99997,                      1,                  0.995,                  0.994,                0.99997,                      1,                  0.995,                0.99446,                0.18222,                0.09584,                0.14827,                0.63326,              0.0017822,              0.0017822,              0.0017822
                     14,                0.31139,                0.16985,                0.22315,                0.90088,                0.99997,                      1,                  0.995,                0.99469,                0.99997,                      1,                  0.995,                0.99496,                 0.1583,                0.09684,                0.14138,                0.62678,              0.0017624,              0.0017624,              0.0017624
                     15,                0.30618,                0.17332,                0.21272,                0.90041,                0.99995,                      1,                  0.995,                0.99449,                0.99995,                      1,                  0.995,                0.99489,                0.15226,                0.09322,                0.13328,                0.62493,              0.0017426,              0.0017426,              0.0017426
